,%fga_2pt
%fga_2pt,1.0
oreb%,0.631346152955668
%reb,0.5415387248635762
%blk,0.4677964401729108
weight,0.44461651217869647
height,0.4134188753464067
fg%,0.4079039740345498
dreb%,0.404523791639611
blk,0.363136487850989
%fta,0.3550622485654881
%pf,0.34841315423677616
pitp,0.32900918247297484
to_ratio,0.31385079823842704
%pts_ft,0.25119230534671677
pf,0.25094387971277615
%pts_2pt_mr,0.24839587508010683
dreb,0.23456870088545712
%tov,0.16341133477415215
%pfd,0.14151756747528343
pie,0.10387148918854229
pfd,0.07517301582729963
%pts,0.04401911168398116
ts%,0.0029619309153625143
poss,-0.0028249537822213865
netrtg,-0.007525189941313259
def_ws,-0.010623808040018843
%pts_offto,-0.024454701242313238
+/-,-0.052742693086134336
age,-0.06235812468104182
obbs,-0.07205214249375877
stl%,-0.09154086540229285
fbps,-0.11594723645824717
2fgm_%uast,-0.138653266314651
offrtg,-0.14749741340172884
3fgm_%uast,-0.14762051587844127
%ast,-0.15019173935594327
%pts_fbps,-0.1523727617802755
defrtg,-0.15350768157578934
ft%,-0.19585144178491923
pace,-0.23764327344655242
ast/to,-0.335936352925241
3p%,-0.5765917215217002
%3pm,-0.7514349237560607
%pts_3pt,-0.9420843735251004
