,%pts_ft
%pts_ft,1.0
%fta,0.4835449098740162
%pfd,0.2574438731025565
%fga_2pt,0.25119230534671677
pfd,0.1868202688397024
to_ratio,0.16468405778239087
%tov,0.1544661634297378
%reb,0.12086192695163855
oreb%,0.11833728631468687
weight,0.11019580246656453
%pf,0.10626367382495465
dreb%,0.09887779283301151
pitp,0.097141977721523
height,0.09094545183367601
%blk,0.07287383127879067
blk,0.06826214674905465
dreb,0.050178455895717636
pf,0.0497495307858381
ft%,0.045998776572219374
pace,0.04207687707935405
fbps,0.036445239664390006
%ast,0.026436721903138186
3fgm_%uast,0.014679853156283897
%pts,-0.002712866843234184
poss,-0.010590404331710157
def_ws,-0.015255573793458162
+/-,-0.018098536865220744
stl%,-0.02045473265486461
obbs,-0.02713851541109276
2fgm_%uast,-0.04175993527573167
age,-0.044276001794844505
%pts_fbps,-0.05622126772437659
defrtg,-0.06479705970383028
%pts_offto,-0.08183660921568484
%pts_2pt_mr,-0.10945627077301455
pie,-0.12910253902648602
netrtg,-0.12969294887091268
ast/to,-0.1772732277648195
offrtg,-0.22255914337279017
fg%,-0.22969556009213093
ts%,-0.2371931815083891
3p%,-0.2540795429950925
%3pm,-0.2720554009954979
%pts_3pt,-0.39871652164818794
