,3fgm_%uast
3fgm_%uast,1.0
%ast,0.5367624472717004
2fgm_%uast,0.48975426933787924
fbps,0.3459815359558748
%tov,0.3427599903649258
ast/to,0.3207152173927556
3p%,0.29985745952386134
%pts,0.2893799690692476
%3pm,0.25183980033363673
pfd,0.2505887868593934
ft%,0.2001653229024724
stl%,0.19903797627007228
poss,0.18917474132635048
%fta,0.17062552144034776
pitp,0.158587698897121
%pts_fbps,0.15409907857553934
%pts_3pt,0.14665363664840114
%pfd,0.14183272856421578
pie,0.13827056703794002
def_ws,0.12036219271449165
offrtg,0.11061481530466234
%pts_2pt_mr,0.08421134980529316
defrtg,0.06625603942349036
+/-,0.06180274253157015
netrtg,0.04031985204217962
%pts_offto,0.02561688171803664
ts%,0.025262802067775342
%pts_ft,0.014679853156283897
obbs,0.014374642538935065
pf,0.002195452694932094
pace,0.0008335567571293557
dreb,-0.0006434443514323619
age,-0.011415206407871982
to_ratio,-0.05090580360144012
fg%,-0.09216250456893843
%fga_2pt,-0.14762051587844127
blk,-0.15197073592190055
dreb%,-0.2565222916869877
%pf,-0.2716199947320015
%blk,-0.2866938728593612
%reb,-0.3174761888032201
oreb%,-0.3236830543129797
weight,-0.3860871109166408
height,-0.448653738452889
