,blk
blk,1.0
%blk,0.7402974403992671
dreb,0.6458690930601575
pitp,0.5266995379236653
%reb,0.5207511417466051
pf,0.5198704570118338
height,0.5054983806190787
dreb%,0.48494821274951594
oreb%,0.45339684870471453
weight,0.4521372544533437
fg%,0.3722321855918227
%fga_2pt,0.363136487850989
def_ws,0.3230587469241821
poss,0.3173217561720871
%fta,0.2896271293647175
pfd,0.2702567333016794
pie,0.22457059370888396
ts%,0.22025923227122418
offrtg,0.16465539232008342
+/-,0.16275433220458574
%pts,0.14693559698862843
%pfd,0.14616124860757268
netrtg,0.14201294678209256
%pf,0.13605548528216002
%pts_ft,0.06826214674905465
to_ratio,0.06586692964898543
obbs,0.043846374973959566
%tov,0.037832168135801696
fbps,0.023232094686331358
defrtg,-0.01701007851410838
age,-0.028381681538456754
ft%,-0.05626093220966062
%pts_2pt_mr,-0.09445254476644124
stl%,-0.0972948462900756
%pts_offto,-0.10798347741985166
pace,-0.11092342391667698
3fgm_%uast,-0.15197073592190055
2fgm_%uast,-0.21230795709219777
%pts_fbps,-0.22098416962384054
3p%,-0.23477138717524096
ast/to,-0.2421405062843285
%ast,-0.24920457719619174
%3pm,-0.3317948265089057
%pts_3pt,-0.34060649954307115
