,features,VIF
0,offrtg,1727.2324089177055
1,defrtg,1425.3922379871167
2,netrtg,7831.662670335504
3,ast/to,10.202886699663985
4,oreb%,22.556578755768566
5,dreb%,128.022070467779
6,to_ratio,37.323109537016904
7,ts%,1166.5905360030706
8,pace,12.12627866414108
9,pie,7939.08215729558
10,poss,13.635434418797198
11,dreb,39.01243629279784
12,stl%,7.792030842668597
13,%blk,10.971071001691064
14,def_ws,125.27506745330155
15,fbps,11.151650126801172
16,pitp,28.642292569815826
17,blk,9.362374564343076
18,pf,26.72899428971539
19,pfd,15.639120457896164
20,%fga_2pt,174.818517122383
21,%pts_2pt_mr,7.348698947366945
22,%pts_3pt,51.117041706226416
23,%pts_fbps,8.076480527976624
24,%pts_ft,14.993618997536595
25,%pts_offto,8.229154707160118
26,2fgm_%uast,13.498349383442813
27,3fgm_%uast,2.2914858507660316
28,fg%,835.060751784808
29,3p%,8.086278517812548
30,ft%,40.42167510052737
31,%3pm,13.629964369480124
32,%fta,21.67780315413941
33,%reb,201.46260072391962
34,%ast,17.057846486154755
35,%tov,45.02112271191964
36,%pf,22.54328431153698
37,%pfd,18.640090832795387
38,%pts,85.28391831500379
39,weight,46.2260927083914
40,height,78.26527169950353
41,age,6.658086692065952
42,obbs,12.481897124041279
