,weight
weight,1.0
height,0.8186233611714018
%reb,0.7027736973573354
oreb%,0.6479459387284806
dreb%,0.6226102383749671
%blk,0.5773942068992326
blk,0.4521372544533437
%fga_2pt,0.44461651217869647
%pf,0.432134852610905
dreb,0.3674998329965053
fg%,0.29505308871952424
pf,0.27829686010655713
pitp,0.21512742658339795
%fta,0.19998431617198612
to_ratio,0.18513151242458542
%pts_ft,0.11019580246656453
%pfd,0.10346571001622751
ts%,0.07859974962875609
age,0.06639423893298779
pfd,0.04171034969913908
pie,0.03549827437135614
+/-,0.026090716744872816
obbs,0.01240235391730336
netrtg,0.007530603966095314
def_ws,-0.025270079115402584
%pts,-0.03024126527396362
offrtg,-0.03201393413365347
defrtg,-0.04614005829650708
poss,-0.05220573239042076
pace,-0.06993551150992901
%tov,-0.09303497817603872
%pts_2pt_mr,-0.10303424850731727
%pts_offto,-0.17288511295039952
ft%,-0.2246220712692205
stl%,-0.30115646950846237
fbps,-0.3123430294572529
3fgm_%uast,-0.3860871109166408
%pts_fbps,-0.4134284266490277
3p%,-0.4148363326448746
%pts_3pt,-0.4294425039189895
2fgm_%uast,-0.4594174395452331
%3pm,-0.4760210360096338
ast/to,-0.49730046498939323
%ast,-0.5519011897128548
