,%ast
%ast,1.0
2fgm_%uast,0.6552189104591901
ast/to,0.6444122307770772
3fgm_%uast,0.5367624472717004
%tov,0.4953227670152936
fbps,0.35407896847558396
stl%,0.33363862319388254
3p%,0.27529364889946645
%3pm,0.24747784840650605
pfd,0.23848675850189593
poss,0.22968847033992174
ft%,0.21024297794790844
%pts_fbps,0.19642992404181014
pie,0.18375459871496247
%pts,0.18251668484164488
def_ws,0.18165068067646464
%pts_2pt_mr,0.1408694748277479
%pts_3pt,0.1382262607159946
pitp,0.1277172048588037
%pfd,0.09821048907638473
offrtg,0.08525974310986464
%fta,0.0820968535075537
+/-,0.07504411276529355
age,0.06915693674889274
netrtg,0.05450636959399548
%pts_offto,0.04444552146934182
%pts_ft,0.026436721903138186
defrtg,0.017949016380837787
obbs,-0.0006095743274892492
to_ratio,-0.013709692802320646
pf,-0.016518718032159593
dreb,-0.030435425895988834
pace,-0.045642423899159415
ts%,-0.06087440265761904
%fga_2pt,-0.15019173935594327
fg%,-0.17867161914751245
blk,-0.24920457719619174
dreb%,-0.3434611585488657
%pf,-0.352876002404639
%blk,-0.41802449722628454
%reb,-0.43320752963532233
oreb%,-0.4617108473107459
weight,-0.5519011897128548
height,-0.6428507495114635
