,%pts_2pt_mr
%pts_2pt_mr,1.0
%fga_2pt,0.24839587508010683
age,0.15949240162554976
%ast,0.1408694748277479
%pts,0.12113366815245741
ft%,0.12036685327441761
poss,0.10160066419242506
3fgm_%uast,0.08421134980529316
ast/to,0.08205633699739787
def_ws,0.047765316895849584
fbps,0.04319534425660645
pie,0.03222163313277078
%tov,0.026541720415562298
pf,0.019926226255146156
3p%,-0.00040285120259552404
stl%,-0.0027266006325343535
%3pm,-0.005018709658282511
2fgm_%uast,-0.005765261423984576
%pts_offto,-0.008761297427177175
netrtg,-0.03198204769678919
dreb,-0.03340671815112197
+/-,-0.04653190315775681
obbs,-0.04665330720540301
%pts_fbps,-0.05650382297932308
pfd,-0.08475419505523174
%fta,-0.08880419896223489
blk,-0.09445254476644124
pitp,-0.09690849730865853
height,-0.09889119456614363
fg%,-0.10133629549331803
weight,-0.10303424850731727
%pts_ft,-0.10945627077301455
to_ratio,-0.11359842104189619
%pf,-0.13246425485609975
defrtg,-0.13443273225681326
dreb%,-0.14630431813325534
%blk,-0.15049323292773403
offrtg,-0.1612476124042184
%reb,-0.1700579180493563
oreb%,-0.18149324138090248
ts%,-0.18514815110274443
%pts_3pt,-0.20727938888549277
%pfd,-0.21050423794963485
pace,-0.28738133323091897
