,def_ws
def_ws,1.0
+/-,0.6733586159709566
poss,0.5990396243243656
netrtg,0.540290211681953
dreb,0.533762788393604
pitp,0.4645110678276438
pf,0.45347274716695546
fbps,0.4407851279650053
pfd,0.3818322138098808
offrtg,0.3277022559140343
obbs,0.32764327213057787
blk,0.3230587469241821
pie,0.296520171075319
%pts,0.2688213753104081
ft%,0.23457951435160182
ts%,0.22909487127052391
%fta,0.19218636294610258
ast/to,0.1906032715552776
%ast,0.18165068067646464
3p%,0.17828027333361923
fg%,0.1521310893876204
%tov,0.1365520465824351
age,0.13280700964825057
stl%,0.12798581736881426
%3pm,0.12295396856727384
3fgm_%uast,0.12036219271449165
2fgm_%uast,0.10665530299947447
%pfd,0.08743532882260797
%pts_fbps,0.07257058607953941
%pts_offto,0.06557717796759706
dreb%,0.06308085055418343
%pts_2pt_mr,0.047765316895849584
%pts_3pt,0.03927962111955946
%fga_2pt,-0.010623808040018843
%pts_ft,-0.015255573793458162
%reb,-0.018190887672576983
%blk,-0.02037928465445629
weight,-0.025270079115402584
height,-0.04490578831615713
oreb%,-0.08539584028633203
to_ratio,-0.13043748249096235
pace,-0.19535933623759275
%pf,-0.267709378569762
defrtg,-0.39707025029034865
