,defrtg
defrtg,1.0
pfd,0.18125186336446808
%pfd,0.169625723047515
pitp,0.13078360392243538
%pts_3pt,0.13077119360950515
3p%,0.11663737489439012
ts%,0.114367974047733
offrtg,0.11268711732562382
pace,0.1116323521089585
fbps,0.0916289883450779
ft%,0.09095183049350873
%pts,0.09073011976449286
pf,0.07938350635977615
poss,0.07522603258988853
2fgm_%uast,0.07365754771566267
dreb,0.07164456892570849
3fgm_%uast,0.06625603942349036
%3pm,0.06118546766969534
ast/to,0.06082892813957326
fg%,0.057632173399293676
%fta,0.038928879135479565
%tov,0.03610862702896313
%ast,0.017949016380837787
pie,0.01717804687388494
blk,-0.01701007851410838
%pts_fbps,-0.027400147561463323
stl%,-0.031400157395441504
%blk,-0.036811614812538127
%pf,-0.03846260945122031
height,-0.04026084127541512
weight,-0.04614005829650708
%reb,-0.0559646927864229
to_ratio,-0.057721427729181006
oreb%,-0.06336930037656473
%pts_ft,-0.06479705970383028
dreb%,-0.06660181824090382
age,-0.0904953240298211
%pts_2pt_mr,-0.13443273225681326
%pts_offto,-0.14260001789556395
obbs,-0.14464407752047578
%fga_2pt,-0.15350768157578934
def_ws,-0.39707025029034865
+/-,-0.40596828800337875
netrtg,-0.6205043773196784
