,fg%
fg%,1.0
ts%,0.8580922777097848
oreb%,0.4291951983307688
pitp,0.42749489931731594
pie,0.4267966341426212
%fga_2pt,0.4079039740345498
%reb,0.4014981867182777
offrtg,0.38855001566024605
blk,0.3722321855918227
%blk,0.3606063459845766
dreb,0.35364755612404464
dreb%,0.3316201955175262
%pts,0.31490926241352546
pf,0.3147916387523495
height,0.3033029020530901
weight,0.29505308871952424
netrtg,0.2658214893320109
%fta,0.2521663842918712
%pfd,0.22593089190963972
pfd,0.22425763498170426
poss,0.21033277172748707
+/-,0.19628410202008728
%pf,0.15288223275725726
def_ws,0.1521310893876204
obbs,0.08548559011299359
fbps,0.08356092481089981
to_ratio,0.06820614023939714
defrtg,0.057632173399293676
ft%,0.039373209347148365
%tov,0.020823842389560965
age,-0.02183167037514112
pace,-0.04043753795260687
%pts_offto,-0.041004605121196316
stl%,-0.07208962124524299
%pts_fbps,-0.0788619489054543
3fgm_%uast,-0.09216250456893843
%pts_2pt_mr,-0.10133629549331803
3p%,-0.10170456373778167
2fgm_%uast,-0.13016577690487438
ast/to,-0.15434455862051186
%ast,-0.17867161914751245
%pts_ft,-0.22969556009213093
%3pm,-0.2651679348379654
%pts_3pt,-0.32251255951388075
