,obbs
obbs,1.0
+/-,0.6048453252374926
def_ws,0.32764327213057787
netrtg,0.2632935080258491
offrtg,0.2035338856457128
age,0.16505958452212188
ts%,0.12356395060813147
poss,0.09978561246073403
fg%,0.08548559011299359
ast/to,0.07597225312827008
%pts_3pt,0.0759598385514936
3p%,0.07589777334115724
pie,0.0656223802256719
fbps,0.05551775665476035
dreb,0.054087353177110165
blk,0.043846374973959566
pitp,0.037592956515495664
ft%,0.033962480831120315
pfd,0.026891629218981715
%3pm,0.02628736826564506
%pts,0.017133318103963513
3fgm_%uast,0.014374642538935065
%fta,0.013268041722013965
weight,0.01240235391730336
%pf,0.008311181980743824
%pfd,0.007345626048579346
oreb%,0.0057818611444097525
%pts_fbps,0.0021808901704845423
dreb%,0.0013511997194514042
%blk,0.0007489949132960243
%ast,-0.0006095743274892492
%reb,-0.0017168818720968663
pace,-0.004035933875347538
%tov,-0.005447636471287982
height,-0.00566409455174145
%pts_offto,-0.0061478234655734845
stl%,-0.02511666507716209
%pts_ft,-0.02713851541109276
pf,-0.027352671526507638
to_ratio,-0.04618560073634204
%pts_2pt_mr,-0.04665330720540301
2fgm_%uast,-0.051223774024264535
%fga_2pt,-0.07205214249375877
defrtg,-0.14464407752047578
