,pf
pf,1.0
dreb,0.6698276296289231
poss,0.6170740215330701
pitp,0.6027413157778408
blk,0.5198704570118338
def_ws,0.45347274716695546
pfd,0.4127545577712837
fbps,0.31999904560316805
fg%,0.3147916387523495
offrtg,0.30660356266196237
%fta,0.29004277554107694
ts%,0.27920260282588183
weight,0.27829686010655713
%reb,0.27263472616114837
dreb%,0.26697322262195905
%pts,0.2521841963439255
%fga_2pt,0.25094387971277615
%blk,0.25021673980438564
height,0.23531870930377513
oreb%,0.23101887174680874
pie,0.20920266291128203
ft%,0.18703899528535115
netrtg,0.18559290484586224
%pf,0.17369333279911353
%tov,0.17309448616497078
+/-,0.12720603044745768
%pfd,0.12553517877643597
defrtg,0.07938350635977615
%pts_ft,0.0497495307858381
to_ratio,0.04073838975878792
stl%,0.03428360596742681
age,0.02597807634693115
%pts_2pt_mr,0.019926226255146156
3fgm_%uast,0.002195452694932094
2fgm_%uast,-0.009198299753682866
%ast,-0.016518718032159593
3p%,-0.02498565777084313
obbs,-0.027352671526507638
%pts_offto,-0.05653405582675476
ast/to,-0.07949824529296995
%3pm,-0.108025547442718
%pts_fbps,-0.11151967797888496
%pts_3pt,-0.2079068496613659
pace,-0.24116498379284146
