,ts%
ts%,1.0
fg%,0.8580922777097848
offrtg,0.5412973377630149
pie,0.4784565251990268
%pts,0.43934924790159063
pitp,0.350835418643567
netrtg,0.3461198757389289
ft%,0.337513664241119
poss,0.3125619149219448
dreb,0.3097063238119436
pfd,0.2947714979509675
pf,0.27920260282588183
+/-,0.2701119492984205
%fta,0.24854791605788873
%pfd,0.23727079408063234
fbps,0.23667402654907221
3p%,0.23021498165424445
def_ws,0.22909487127052391
blk,0.22025923227122418
%reb,0.13576651398314857
dreb%,0.13397253032325987
%blk,0.12711425845077873
oreb%,0.12690929325011968
obbs,0.12356395060813147
%3pm,0.12187369267489544
defrtg,0.114367974047733
%pts_3pt,0.09493829652458353
height,0.09351571552035969
weight,0.07859974962875609
3fgm_%uast,0.025262802067775342
ast/to,0.021897274944817108
age,0.021708128233385904
%tov,0.01093578188989527
%pts_fbps,0.008431448557410433
pace,0.004034884602601661
%fga_2pt,0.0029619309153625143
2fgm_%uast,-0.010140435281991465
stl%,-0.012482863715892531
%pts_offto,-0.017862766436927798
%pf,-0.04458435638730169
%ast,-0.06087440265761904
to_ratio,-0.0844643581395652
%pts_2pt_mr,-0.18514815110274443
%pts_ft,-0.2371931815083891
