,2fgm_%uast
2fgm_%uast,1.0
%ast,0.6552189104591901
3fgm_%uast,0.48975426933787924
%tov,0.40863402823195005
ast/to,0.37592692106357606
fbps,0.3065283681254529
%3pm,0.2678412143592289
%pts,0.2580281132709894
stl%,0.25388630570318504
pfd,0.2480149766257852
3p%,0.23964910300841388
ft%,0.21361784141669293
poss,0.18536866448575556
%pfd,0.15255206624886972
%pts_3pt,0.14943132156006717
%pts_fbps,0.14336289462635496
%fta,0.13998802610141442
pie,0.13818781293501725
pitp,0.13472761692313023
offrtg,0.11020819370074689
def_ws,0.10665530299947447
defrtg,0.07365754771566267
%pts_offto,0.04690773987030789
netrtg,0.03468288801655372
+/-,0.016538381582172704
to_ratio,0.0004204965296992291
%pts_2pt_mr,-0.005765261423984576
pf,-0.009198299753682866
ts%,-0.010140435281991465
%pts_ft,-0.04175993527573167
pace,-0.04449493980392156
obbs,-0.051223774024264535
dreb,-0.053546831470310016
age,-0.05443884447743032
fg%,-0.13016577690487438
%fga_2pt,-0.138653266314651
blk,-0.21230795709219777
%pf,-0.2888165140513363
dreb%,-0.3081099876370181
oreb%,-0.3156857166985339
%blk,-0.33456046657663485
%reb,-0.3577663276105491
weight,-0.4594174395452331
height,-0.5430627695272907
