,fbps
fbps,1.0
poss,0.6398092750113022
pitp,0.5643187041562943
%pts,0.5548735415465142
%pts_fbps,0.5163331963743454
pfd,0.49046920401385313
def_ws,0.4407851279650053
%3pm,0.3552937522721625
%ast,0.35407896847558396
%fta,0.34698675022975733
3fgm_%uast,0.3459815359558748
3p%,0.3372214110458619
dreb,0.33518198463278387
pf,0.31999904560316805
offrtg,0.318275121608231
ft%,0.31530200662742747
2fgm_%uast,0.3065283681254529
pie,0.2887235283315848
%tov,0.28814048517490737
ts%,0.23667402654907221
+/-,0.22591977628073515
ast/to,0.22181072568644145
stl%,0.2190599772415488
netrtg,0.18612076152623108
%pfd,0.17612437536074324
%pts_offto,0.14657620959875492
%pts_3pt,0.11503805086923484
defrtg,0.0916289883450779
fg%,0.08356092481089981
obbs,0.05551775665476035
%pts_2pt_mr,0.04319534425660645
%pts_ft,0.036445239664390006
blk,0.023232094686331358
pace,-0.042686034947111165
age,-0.09597258916485113
%fga_2pt,-0.11594723645824717
dreb%,-0.2025078388679019
to_ratio,-0.20871333549968352
%reb,-0.2760314973691126
%blk,-0.2831098913592824
oreb%,-0.3047811012504363
weight,-0.3123430294572529
height,-0.31511014636791856
%pf,-0.4390099122238602
